timestamp,station_id,station_name,brand,city,lat,lon,fuel,price,status,valid
2026-09-09T04:00:00+00:00,s1,HEM Pruefweg,HEM,Frankfurt,50.1,8.66,E10,1.857,open,true
2026-09-09T04:05:00+00:00,s1,HEM Pruefweg,HEM,Frankfurt,50.1,8.66,E10,1.857,open,true
2026-09-09T04:10:00+00:00,s1,HEM Pruefweg,HEM,Frankfurt,50.1,8.66,E10,1.857,open,true
2026-09-09T04:15:00+00:00,s1,HEM Pruefweg,HEM,Frankfurt,50.1,8.66,E10,1.857,open,true
2026-09-09T04:20:00+00:00,s1,HEM Pruefweg,HEM,Frankfurt,50.1,8.66,E10,1.857,open,true
2026-09-09T04:25:00+00:00,s1,HEM Pruefweg,HEM,Frankfurt,50.1,8.66,E10,1.855,open,true
2026-09-09T04:30:00+00:00,s1,HEM Pruefweg,HEM,Frankfurt,50.1,8.66,E10,1.855,open,false
2026-09-09T04:35:00+00:00,s1,HEM Pruefweg,HEM,Frankfurt,50.1,8.66,E10,1.856,open,false
2026-09-09T04:40:00+00:00,s1,HEM Pruefweg,HEM,Frankfurt,50.1,8.66,E10,1.855,open,false
2026-09-09T04:45:00+00:00,s1,HEM Pruefweg,HEM,Frankfurt,50.1,8.66,E10,1.855,open,true
2026-09-09T04:50:00+00:00,s1,HEM Pruefweg,HEM,Frankfurt,50.1,8.66,E10,1.856,open,true
2026-09-09T04:55:00+00:00,s1,HEM Pruefweg,HEM,Frankfurt,50.1,8.66,E10,1.855,open,true
2026-09-09T05:00:00+00:00,s1,HEM Pruefweg,HEM,Frankfurt,50.1,8.66,E10,1.855,open,true
2026-09-09T05:05:00+00:00,s1,HEM Pruefweg,HEM,Frankfurt,50.1,8.66,E10,1.854,open,true
2026-09-09T05:10:00+00:00,s1,HEM Pruefweg,HEM,Frankfurt,50.1,8.66,E10,1.854,open,true
2026-09-09T05:15:00+00:00,s1,HEM Pruefweg,HEM,Frankfurt,50.1,8.66,E10,1.853,open,true
2026-09-09T05:20:00+00:00,s1,HEM Pruefweg,HEM,Frankfurt,50.1,8.66,E10,1.854,open,true
2026-09-09T05:25:00+00:00,s1,HEM Pruefweg,HEM,Frankfurt,50.1,8.66,E10,1.854,open,true
2026-09-09T05:30:00+00:00,s1,HEM Pruefweg,HEM,Frankfurt,50.1,8.66,E10,1.853,open,false
2026-09-09T05:35:00+00:00,s1,HEM Pruefweg,HEM,Frankfurt,50.1,8.66,E10,1.853,open,false
2026-09-09T05:40:00+00:00,s1,HEM Pruefweg,HEM,Frankfurt,50.1,8.66,E10,1.853,open,false
2026-09-09T05:45:00+00:00,s1,HEM Pruefweg,HEM,Frankfurt,50.1,8.66,E10,1.852,open,true
2026-09-09T05:50:00+00:00,s1,HEM Pruefweg,HEM,Frankfurt,50.1,8.66,E10,1.853,open,true
2026-09-09T05:55:00+00:00,s1,HEM Pruefweg,HEM,Frankfurt,50.1,8.66,E10,1.852,open,true
2026-09-09T06:00:00+00:00,s1,HEM Pruefweg,HEM,Frankfurt,50.1,8.66,E10,1.851,open,true
2026-09-09T06:05:00+00:00,s1,HEM Pruefweg,HEM,Frankfurt,50.1,8.66,E10,1.85,open,true
